ID,Tool,Category,What_It_Does,Flow_Phase,Cost,Required_Secret,Link
1,GitHub Actions,CI/CD Platform,Runs all automated workflows. The backbone of every automated step.,All phases,Free for public repos / $0.008 per minute for private,GITHUB_TOKEN (auto-provided),https://github.com/features/actions
2,GitHub Issues,Project Tracking,Tracks every task / bug / and feature request as a numbered ticket,Phase 4,Free,,https://github.com
3,GitHub Pull Requests,Code Review,Proposes and reviews code changes before merging to main,Phase 5-6,Free,,https://github.com
4,GitHub Pages,Static Hosting,Auto-deploys portfolio and documentation sites from the repo,Phase 7,Free,,https://pages.github.com
5,GitHub App,Authentication,Generates short-lived tokens for workflows that need cross-repo access,All phases,Free,APP_ID + APP_PRIVATE_KEY,https://github.com/settings/apps
6,Dependabot,Dependency Updates,Automatically opens PRs to update outdated npm/pip/etc packages,Background,Free,,https://github.com/dependabot
7,GitHub Copilot,AI Code Review/Fix,Reviews PRs / suggests fixes / auto-fixes CI failures via Ralph Loop,Phase 5-6,Paid subscription,,https://github.com/features/copilot
8,GitHub CLI (gh),CLI Tool,Command-line tool to create issues / PRs / and manage repos from terminal,Phase 4,Free,GH_TOKEN,https://cli.github.com
9,actions/checkout@v4,GitHub Action,Checks out the repo code inside a workflow runner,All CI phases,Free,,https://github.com/actions/checkout
10,actions/setup-node@v4,GitHub Action,Installs Node.js inside a workflow runner,Phase 2 + 5,Free,,https://github.com/actions/setup-node
11,actions/create-github-app-token@v1,GitHub Action,Mints a short-lived (1-hour) GitHub App token for secure API calls,All phases,Free,APP_ID + APP_PRIVATE_KEY,https://github.com/actions/create-github-app-token
12,actions/github-script@v8,GitHub Action,Runs JavaScript inside a workflow to call the GitHub API,Phase 5-6,Free,,https://github.com/actions/github-script
13,OpenRouter API,AI Routing API,Routes requests to multiple AI models (Claude / GPT / Gemini) under one API key,Phase 2,Usage-based,OPENROUTER_API_KEY,https://openrouter.ai
14,Anthropic Claude Sonnet 4,LLM via OpenRouter,Spec research agent — reads official docs and specifications,Phase 2 Agent 1,Via OpenRouter,OPENROUTER_API_KEY,https://anthropic.com
15,Anthropic Claude Opus 4,LLM via OpenRouter,Security analysis agent + research synthesizer,Phase 2 Agent 3 + Synth,Via OpenRouter,OPENROUTER_API_KEY,https://anthropic.com
16,OpenAI GPT-4.1,LLM via OpenRouter,Competitive analysis agent — compares alternatives,Phase 2 Agent 2,Via OpenRouter,OPENROUTER_API_KEY,https://openai.com
